Model,Guarded,Accuracy,F1(neg),Macro F1,CV(F1neg)
MultinomialNB,False,0.9333333333333333,0.68,0.8213953488372093,0.687098186366479
LinearSVC,False,0.9208333333333333,0.6545454545454545,0.8049197860962567,0.641889400921659
LogisticRegression,False,0.9208333333333333,0.6545454545454545,0.8049197860962567,0.6495238095238095
