Model,Guarded,Accuracy,F1(neg),Macro F1,CV(F1neg)
LogisticRegression,False,0.91875,0.5806451612903226,0.7678312311641924,0.6735642972164712
LinearSVC,False,0.9125,0.5333333333333333,0.7425287356321839,0.666567570915397
MultinomialNB,False,0.90625,0.4827586206896552,0.715606114468539,0.6452822539779061
LogisticRegression,True,0.9125,0.46153846153846156,0.7069597069597069,0.6735642972164712
LinearSVC,True,0.90625,0.4,0.6745762711864407,0.666567570915397
MultinomialNB,True,0.9,0.3333333333333333,0.6396396396396397,0.6452822539779061
