Model,Guarded,Accuracy,F1(neg),Macro F1,CV(F1neg)
MultinomialNB,False,0.9333333333333333,0.68,0.8213953488372093,0.687098186366479
LinearSVC,False,0.9208333333333333,0.6545454545454545,0.8049197860962567,0.641889400921659
LogisticRegression,False,0.9208333333333333,0.6545454545454545,0.8049197860962567,0.6495238095238095
MultinomialNB,True,0.9083333333333333,0.5,0.7247706422018348,0.687098186366479
LinearSVC,True,0.9,0.4782608695652174,0.7114806651973553,0.641889400921659
LogisticRegression,True,0.9,0.4782608695652174,0.7114806651973553,0.6495238095238095
