Model,Accuracy,Macro F1,Weighted F1,CV Score
MultinomialNB,0.35,0.2490842490842491,0.3291208791208791,0.37926606227519005
LogisticRegression,0.3,0.21518350930115634,0.2846153846153846,0.3629569054930567
LinearSVC,0.275,0.20455749867514572,0.2702702702702703,0.36488732126072276
